iter	Passed	Remaining
0	7	7131
1	8	4235
2	9	3235
3	10	2731
4	12	2433
5	13	2227
6	14	2085
7	16	2090
8	18	1992
9	19	1912
10	20	1849
11	21	1798
12	23	1750
13	24	1710
14	25	1675
15	26	1656
16	28	1624
17	29	1594
18	30	1591
19	32	1587
20	33	1564
21	34	1543
22	35	1523
23	37	1504
24	38	1487
25	39	1471
26	40	1455
27	50	1752
28	51	1729
29	52	1707
30	53	1685
31	55	1664
32	56	1646
33	57	1630
34	58	1612
35	59	1596
36	62	1627
37	63	1614
38	67	1663
39	68	1649
40	69	1636
41	71	1623
42	72	1611
43	73	1599
44	74	1587
45	78	1620
46	79	1609
47	80	1598
48	81	1588
49	83	1578
50	84	1568
51	85	1558
52	86	1548
53	87	1539
54	89	1529
55	90	1520
56	92	1533
57	94	1527
58	95	1518
59	96	1509
60	97	1500
61	98	1491
62	99	1483
63	100	1475
64	102	1467
65	103	1461
66	104	1453
67	108	1485
68	109	1479
69	110	1471
70	111	1463
71	112	1456
72	114	1449
73	115	1441
74	116	1434
75	118	1435
76	119	1428
77	120	1422
78	122	1425
79	123	1418
80	124	1412
81	125	1406
82	126	1393
83	127	1387
84	128	1382
85	129	1376
86	130	1371
87	131	1365
88	132	1360
89	134	1355
90	135	1351
91	141	1392
92	142	1387
93	143	1382
94	144	1377
95	145	1372
96	146	1367
97	148	1362
98	149	1358
99	150	1353
100	152	1354
101	154	1357
102	155	1354
103	156	1350
104	157	1345
105	159	1341
106	160	1337
107	161	1333
108	162	1328
109	163	1324
110	164	1319
111	166	1319
112	168	1326
113	171	1335
114	172	1331
115	174	1326
116	174	1320
117	176	1321
118	178	1317
119	179	1314
120	180	1310
121	184	1324
122	185	1322
123	186	1319
124	187	1315
125	189	1311
126	189	1305
127	191	1301
128	192	1298
129	193	1294
130	194	1291
131	195	1287
132	197	1285
133	199	1287
134	200	1287
135	202	1283
136	203	1280
137	204	1276
138	205	1273
139	207	1271
140	208	1268
141	208	1262
142	210	1258
143	211	1255
144	215	1268
145	216	1265
146	217	1262
147	218	1259
148	220	1257
149	221	1255
150	222	1252
151	223	1249
152	225	1246
153	226	1242
154	227	1242
155	229	1241
156	230	1238
157	231	1235
158	233	1232
159	234	1229
160	234	1224
161	236	1221
162	237	1218
163	238	1215
164	239	1213
165	243	1222
166	244	1219
167	245	1216
168	246	1214
169	248	1211
170	249	1208
171	250	1205
172	251	1202
173	252	1199
174	253	1196
175	255	1194
176	266	1237
177	267	1235
178	268	1232
179	269	1229
180	271	1226
181	272	1226
182	274	1223
183	275	1220
184	276	1218
185	277	1215
186	278	1212
187	280	1209
188	281	1207
189	282	1204
190	283	1202
191	286	1205
192	288	1204
193	289	1202
194	290	1199
195	291	1196
196	292	1193
197	294	1190
198	295	1188
199	296	1185
200	297	1182
201	298	1179
202	302	1187
203	303	1185
204	304	1182
205	306	1179
206	308	1183
207	309	1180
208	311	1177
209	312	1174
210	313	1171
211	314	1168
212	317	1174
213	319	1171
214	320	1168
215	321	1166
216	322	1163
217	323	1161
218	325	1159
219	326	1157
220	327	1154
221	328	1151
222	330	1149
223	331	1148
224	333	1149
225	335	1147
226	336	1145
227	337	1143
228	338	1140
229	340	1138
230	341	1135
231	342	1133
232	343	1131
233	345	1130
234	347	1131
235	349	1130
236	350	1127
237	351	1125
238	352	1122
239	353	1120
240	354	1117
241	356	1115
242	357	1112
243	358	1110
244	359	1108
245	361	1108
246	363	1106
247	364	1104
248	365	1103
249	367	1101
250	368	1098
251	369	1096
252	370	1093
253	371	1091
254	372	1089
255	373	1086
256	375	1084
257	379	1090
258	380	1087
259	381	1085
260	382	1083
261	383	1080
262	385	1078
263	386	1076
264	387	1074
265	388	1071
266	389	1070
267	390	1067
268	393	1069
269	394	1067
270	396	1065
271	397	1063
272	398	1061
273	399	1059
274	400	1056
275	402	1054
276	403	1052
277	404	1050
278	405	1048
279	409	1052
280	410	1051
281	412	1049
282	413	1048
283	415	1046
284	416	1045
285	418	1043
286	419	1042
287	421	1041
288	424	1043
289	425	1042
290	427	1040
291	428	1039
292	430	1038
293	431	1036
294	433	1035
295	434	1033
296	436	1032
297	439	1036
298	441	1034
299	442	1032
300	444	1031
301	445	1029
302	446	1028
303	448	1026
304	455	1037
305	456	1035
306	458	1033
307	459	1032
308	460	1030
309	462	1028
310	463	1027
311	465	1025
312	473	1038
313	474	1037
314	476	1035
315	477	1034
316	479	1032
317	480	1030
318	482	1029
319	485	1030
320	486	1029
321	488	1027
322	489	1025
323	490	1024
324	492	1022
325	493	1020
326	494	1018
327	496	1016
328	499	1019
329	501	1017
330	502	1015
331	503	1013
332	505	1011
333	506	1010
334	507	1008
335	509	1006
336	510	1004
337	512	1003
338	515	1004
339	516	1002
340	517	1000
341	519	998
342	520	996
343	521	994
344	522	992
345	524	990
346	525	988
347	527	987
348	530	989
349	531	987
350	533	985
351	534	983
352	535	981
353	536	979
354	537	977
355	539	975
356	541	975
357	542	973
358	545	974
359	547	972
360	548	970
361	549	968
362	550	966
363	552	964
364	553	962
365	554	960
366	556	959
367	557	957
368	558	955
369	562	957
370	563	955
371	564	953
372	566	951
373	567	949
374	568	948
375	570	946
376	571	944
377	572	942
378	574	940
379	575	939
380	576	937
381	578	935
382	579	933
383	580	931
384	581	929
385	583	927
386	584	925
387	585	923
388	586	921
389	589	921
390	591	921
391	592	919
392	594	917
393	595	915
394	596	913
395	597	911
396	599	909
397	600	908
398	601	906
399	605	907
400	606	906
401	607	904
402	609	902
403	610	900
404	613	902
405	615	900
406	616	898
407	623	905
408	625	903
409	626	901
410	627	899
411	628	897
412	630	895
413	631	893
414	632	891
415	635	892
416	637	890
417	638	888
418	639	886
419	640	884
420	641	882
421	643	880
422	644	878
423	645	876
424	646	874
425	647	872
426	649	872
427	651	870
428	652	868
429	653	866
430	654	864
431	655	862
432	657	860
433	658	859
434	660	857
435	661	855
436	662	853
437	663	851
438	666	851
439	667	849
440	668	847
441	669	845
442	670	843
443	672	841
444	673	839
445	674	837
446	675	835
447	676	834
448	678	832
449	681	833
450	682	831
451	683	829
452	685	827
453	686	825
454	687	823
455	688	821
456	689	819
457	690	817
458	692	815
459	693	813
460	697	815
461	698	813
462	699	811
463	700	809
464	702	807
465	703	805
466	704	803
467	705	802
468	709	802
469	712	803
470	713	801
471	714	799
472	716	797
473	717	795
474	718	793
475	719	791
476	720	790
477	721	788
478	722	786
479	724	784
480	726	784
481	727	782
482	728	780
483	730	778
484	731	777
485	732	775
486	733	773
487	735	771
488	736	769
489	737	767
490	738	765
491	739	763
492	742	763
493	743	762
494	745	760
495	746	758
496	747	756
497	748	754
498	749	752
499	750	750
500	751	748
501	752	746
502	753	744
503	754	742
504	757	742
505	758	740
506	759	738
507	760	736
508	761	735
509	763	733
510	764	731
511	765	729
512	768	729
513	770	728
514	771	726
515	772	724
516	773	722
517	774	720
518	775	718
519	776	716
520	777	714
521	778	713
522	779	711
523	780	709
524	784	709
525	785	707
526	786	706
527	787	704
528	789	702
529	790	700
530	791	698
531	792	697
532	793	695
533	794	693
534	796	691
535	797	690
536	799	689
537	800	687
538	801	685
539	802	683
540	803	681
541	804	680
542	805	678
543	807	676
544	808	674
545	811	674
546	812	673
547	813	671
548	815	669
549	816	667
550	817	666
551	818	664
552	820	662
553	821	661
554	822	659
555	823	657
556	827	658
557	828	656
558	830	654
559	831	653
560	832	651
561	833	649
562	834	647
563	835	646
564	837	644
565	838	642
566	839	641
567	843	641
568	844	639
569	845	637
570	846	635
571	847	634
572	848	632
573	849	630
574	850	628
575	852	627
576	853	625
577	854	623
578	859	624
579	860	623
580	861	621
581	862	619
582	864	617
583	865	616
584	866	614
585	867	612
586	868	611
587	869	609
588	872	609
589	874	607
590	875	605
591	876	603
592	877	602
593	878	600
594	879	598
595	880	596
596	881	595
597	882	593
598	883	591
599	884	589
600	888	590
601	890	588
602	891	586
603	892	584
604	893	583
605	894	581
606	895	579
607	896	578
608	897	576
609	900	575
610	902	574
611	903	572
612	904	571
613	906	569
614	907	567
615	908	566
616	909	564
617	910	562
618	911	561
619	913	559
620	914	557
621	915	556
622	917	555
623	919	553
624	920	552
625	921	550
626	922	548
627	923	547
628	924	545
629	925	543
630	926	542
631	927	540
632	929	538
633	930	537
634	932	536
635	934	534
636	935	532
637	936	531
638	937	529
639	938	527
640	939	526
641	940	524
642	942	523
643	943	521
644	944	519
645	947	519
646	951	519
647	952	517
648	953	515
649	954	514
650	956	512
651	957	510
652	958	509
653	959	507
654	962	506
655	963	505
656	964	503
657	965	502
658	966	500
659	968	498
660	969	497
661	970	495
662	971	493
663	972	492
664	973	490
665	974	488
666	975	487
667	977	485
668	978	484
669	980	482
670	981	481
671	982	479
672	984	478
673	985	476
674	986	474
675	987	473
676	988	471
677	991	470
678	992	469
679	993	467
680	994	465
681	995	464
682	997	462
683	998	461
684	999	459
685	1000	457
686	1001	456
687	1002	454
688	1003	453
689	1006	452
690	1008	450
691	1009	449
692	1010	447
693	1011	445
694	1012	444
695	1013	442
696	1014	441
697	1015	439
698	1016	437
699	1017	436
700	1019	434
701	1021	433
702	1022	431
703	1023	430
704	1024	428
705	1025	427
706	1026	425
707	1028	424
708	1029	422
709	1030	420
710	1031	419
711	1046	423
712	1047	421
713	1048	420
714	1052	419
715	1053	417
716	1054	416
717	1055	414
718	1056	413
719	1058	411
720	1059	409
721	1060	408
722	1061	406
723	1062	405
724	1063	403
725	1073	405
726	1074	403
727	1075	401
728	1076	400
729	1077	398
730	1078	396
731	1079	395
732	1082	394
733	1084	392
734	1085	391
735	1086	389
736	1087	388
737	1088	386
738	1089	384
739	1091	383
740	1092	381
741	1093	380
742	1094	378
743	1095	376
744	1097	375
745	1099	374
746	1100	372
747	1101	371
748	1102	369
749	1104	368
750	1105	366
751	1114	367
752	1115	366
753	1117	364
754	1118	362
755	1119	361
756	1120	359
757	1121	358
758	1122	356
759	1123	354
760	1125	353
761	1126	351
762	1129	350
763	1130	349
764	1131	347
765	1132	345
766	1133	344
767	1134	342
768	1135	341
769	1137	339
770	1138	338
771	1141	337
772	1145	336
773	1146	334
774	1147	333
775	1148	331
776	1149	329
777	1150	328
778	1151	326
779	1154	325
780	1155	324
781	1156	322
782	1160	321
783	1161	319
784	1162	318
785	1163	316
786	1164	315
787	1165	313
788	1166	312
789	1173	311
790	1176	310
791	1177	309
792	1178	307
793	1179	306
794	1181	304
795	1182	303
796	1183	301
797	1184	299
798	1186	298
799	1187	296
800	1191	295
801	1192	294
802	1193	292
803	1195	291
804	1196	289
805	1197	288
806	1199	286
807	1200	285
808	1201	283
809	1203	282
810	1204	280
811	1205	279
812	1206	277
813	1207	276
814	1212	275
815	1214	273
816	1215	272
817	1216	270
818	1220	269
819	1221	268
820	1222	266
821	1223	264
822	1224	263
823	1227	262
824	1228	260
825	1230	259
826	1231	257
827	1232	256
828	1233	254
829	1235	252
830	1236	251
831	1237	249
832	1238	248
833	1239	246
834	1242	245
835	1244	244
836	1245	242
837	1246	241
838	1247	239
839	1252	238
840	1253	237
841	1255	235
842	1257	234
843	1258	232
844	1259	231
845	1261	229
846	1262	228
847	1263	226
848	1265	224
849	1266	223
850	1268	222
851	1269	220
852	1270	218
853	1273	217
854	1274	216
855	1275	214
856	1276	212
857	1277	211
858	1278	209
859	1279	208
860	1280	206
861	1281	205
862	1283	203
863	1284	202
864	1285	200
865	1298	200
866	1299	199
867	1300	197
868	1302	196
869	1304	194
870	1306	193
871	1307	191
872	1308	190
873	1309	188
874	1310	187
875	1312	185
876	1313	184
877	1314	182
878	1315	181
879	1316	179
880	1317	177
881	1319	176
882	1321	175
883	1322	173
884	1323	171
885	1324	170
886	1329	169
887	1330	167
888	1331	166
889	1354	167
890	1355	165
891	1356	164
892	1357	162
893	1359	161
894	1360	159
895	1361	158
896	1362	156
897	1365	155
898	1384	155
899	1385	153
900	1386	152
901	1389	151
902	1406	151
903	1407	149
904	1408	147
905	1409	146
906	1410	144
907	1411	143
908	1413	141
909	1416	140
910	1417	138
911	1418	136
912	1419	135
913	1420	133
914	1422	132
915	1424	130
916	1425	129
917	1426	127
918	1429	126
919	1431	124
920	1432	122
921	1434	121
922	1435	119
923	1437	118
924	1446	117
925	1448	115
926	1449	114
927	1450	112
928	1451	110
929	1453	109
930	1454	107
931	1455	106
932	1456	104
933	1458	103
934	1460	101
935	1461	99
936	1463	98
937	1464	96
938	1466	95
939	1467	93
940	1468	92
941	1470	90
942	1471	88
943	1474	87
944	1476	85
945	1477	84
946	1478	82
947	1479	81
948	1518	81
949	1519	79
950	1521	78
951	1522	76
952	1524	75
953	1525	73
954	1526	71
955	1527	70
956	1529	68
957	1530	67
958	1531	65
959	1532	63
960	1533	62
961	1534	60
962	1537	59
963	1538	57
964	1539	55
965	1540	54
966	1541	52
967	1543	51
968	1544	49
969	1545	47
970	1547	46
971	1548	44
972	1597	44
973	1598	42
974	1599	41
975	1602	39
976	1604	37
977	1607	36
978	1608	34
979	1610	32
980	1611	31
981	1612	29
982	1613	27
983	1617	26
984	1619	24
985	1620	23
986	1622	21
987	1623	19
988	1624	18
989	1625	16
990	1626	14
991	1627	13
992	1629	11
993	1644	9
994	1646	8
995	1650	6
996	1651	4
997	1653	3
998	1654	1
999	1655	0
